,0
225,40.71428571
30,36.42857143
39,36.14285714
222,40.28571429
124,38.0
203,40.42857143
400,41.85714286
211,40.42857143
455,39.0
77,34.85714286
452,40.42857143
396,40.42857143
76,35.85714286
441,38.14285714
277,37.14285714
376,40.57142857
70,26.14285714
93,25.28571429
157,38.57142857
0,35.14285714
390,38.85714286
82,29.85714286
278,40.57142857
353,40.71428571
418,38.42857143
414,41.85714286
172,39.14285714
176,40.42857143
18,33.28571429
9,36.57142857
426,38.71428571
446,37.0
73,26.14285714
234,40.0
286,41.28571429
314,40.0
55,31.28571429
90,29.57142857
419,41.14285714
79,27.57142857
324,42.14285714
448,39.0
209,38.71428571
173,40.0
185,39.28571429
72,31.85714286
148,42.0
