,0
173,40.85714286
33,37.14285714
70,37.28571429
362,35.85714286
371,31.57142857
82,37.85714286
399,36.57142857
407,27.57142857
126,41.57142857
402,27.14285714
84,37.28571429
78,40.57142857
342,36.85714286
165,38.14285714
158,40.14285714
175,40.0
194,37.57142857
176,39.28571429
9,41.28571429
101,38.57142857
118,42.14285714
261,38.0
104,39.42857143
73,39.28571429
90,39.0
30,40.42857143
218,40.57142857
55,37.42857143
93,40.0
283,40.42857143
250,40.28571429
360,36.85714286
329,40.42857143
116,40.14285714
15,39.14285714
131,39.57142857
0,39.85714286
113,39.85714286
336,38.71428571
132,41.71428571
268,40.14285714
317,38.28571429
248,40.0
198,37.42857143
370,31.28571429
56,38.14285714
334,38.85714286
310,37.28571429
152,37.42857143
42,38.28571429
153,37.14285714
406,32.57142857
39,40.71428571
390,29.57142857
25,42.0
380,24.71428571
320,42.0
177,38.71428571
148,42.0
22,41.28571429
304,39.14285714
46,37.28571429
72,39.28571429
347,36.85714286
77,40.14285714
76,39.14285714
57,41.57142857
239,41.14285714
24,39.42857143
17,40.71428571
110,39.14285714
108,41.14285714
31,41.28571429
280,38.42857143
157,41.71428571
193,39.14285714
237,38.28571429
322,37.0
333,41.14285714
5,41.0
45,40.0
94,40.28571429
289,38.14285714
167,41.0
379,35.42857143
140,38.85714286
124,39.14285714
3,41.85714286
18,39.71428571
391,28.85714286
203,40.57142857
405,32.57142857
63,38.14285714
258,38.85714286
234,41.42857143
137,39.71428571
180,40.85714286
357,29.42857143
314,39.57142857
195,38.85714286
297,39.28571429
184,40.0
286,39.85714286
383,30.71428571
356,30.14285714
222,40.85714286
75,41.14285714
114,40.42857143
275,39.85714286
16,39.85714286
66,38.57142857
231,41.28571429
7,40.14285714
19,38.57142857
141,39.28571429
364,30.28571429
358,36.0
287,41.14285714
278,40.85714286
301,39.14285714
397,26.14285714
366,36.28571429
60,40.85714286
79,38.71428571
389,35.14285714
145,40.28571429
351,31.28571429
338,36.57142857
109,40.28571429
192,37.71428571
373,33.28571429
272,38.71428571
227,37.14285714
255,41.85714286
228,41.42857143
393,31.85714286
382,30.71428571
181,40.0
119,38.14285714
361,32.28571429
209,41.14285714
168,39.42857143
155,40.57142857
316,37.85714286
36,37.42857143
139,37.14285714
318,38.14285714
341,36.85714286
337,39.0
202,39.28571429
59,38.57142857
111,40.0
262,41.0
281,41.42857143
6,41.14285714
296,41.14285714
285,39.71428571
150,39.0
10,38.57142857
233,40.28571429
103,38.57142857
81,40.14285714
211,38.57142857
323,37.0
388,26.14285714
294,38.28571429
219,39.71428571
172,39.57142857
271,38.57142857
89,40.42857143
196,41.57142857
163,41.28571429
147,40.57142857
381,29.42857143
92,41.28571429
69,37.42857143
123,40.42857143
96,38.85714286
143,41.28571429
312,40.71428571
97,40.71428571
238,39.14285714
68,41.14285714
23,39.28571429
37,37.42857143
144,40.14285714
122,40.14285714
349,32.71428571
182,40.57142857
67,40.42857143
387,34.57142857
220,39.28571429
225,39.28571429
326,41.57142857
335,41.14285714
125,40.71428571
146,39.28571429
369,28.14285714
86,38.71428571
355,27.57142857
210,38.71428571
346,36.85714286
223,41.0
266,39.14285714
311,39.28571429
183,38.85714286
