,0
225,40.85714286
30,36.71428571
39,36.85714286
222,44.42857143
124,38.71428571
203,41.14285714
400,42.0
211,40.57142857
455,42.85714286
77,35.28571429
452,40.57142857
396,40.71428571
76,36.14285714
441,38.85714286
277,37.71428571
376,40.85714286
70,41.71428571
93,29.0
157,38.71428571
0,35.71428571
390,39.0
82,32.57142857
278,41.0
353,42.0
418,41.85714286
414,42.0
172,39.42857143
176,43.71428571
18,34.85714286
9,37.0
426,39.14285714
446,41.57142857
73,29.28571429
234,40.42857143
286,42.42857143
314,40.57142857
55,40.14285714
90,42.0
419,43.57142857
79,44.28571429
324,42.71428571
448,41.85714286
209,41.42857143
173,40.28571429
185,41.42857143
72,42.28571429
148,42.28571429
