,0
173,41.14285714
33,38.14285714
70,37.57142857
362,39.7142857
371,40.1428571
82,38.42857143
399,43.0
407,44.2857143
126,41.85714286
402,43.5714286
84,37.85714286
78,40.85714286
342,37.1428571
165,38.42857143
158,42.0
175,42.57142857
194,38.0
176,40.57142857
9,41.57142857
101,39.28571429
118,42.28571429
261,38.28571429
104,39.71428571
73,39.42857143
90,41.85714286
30,41.28571429
218,40.85714286
55,38.28571429
93,40.71428571
283,41.85714286
250,40.57142857
360,39.5714286
329,40.57142857
116,43.14285714
15,39.57142857
131,43.71428571
0,40.0
113,40.14285714
336,42.14285714
132,42.0
268,40.42857143
317,38.42857143
