,0
0,40.8987154683
1,37.5805038065
2,35.9414535241
3,39.5817194311
4,39.0049652908
5,41.3592199008
6,40.5943476321
7,40.1535609238
8,39.7543583933
9,34.2350067143
10,39.4433505698
11,40.9209626192
12,35.4188894817
13,38.6349184844
14,37.5301873866
15,40.393299721
16,34.4183822719
17,26.5681171729
18,37.9344726401
19,34.4515561226
20,40.1684473595
21,31.9993602172
22,40.7935432678
23,40.6031250727
24,41.0553581594
25,42.6408303518
26,39.9351022813
27,39.9609708386
28,34.5862286043
29,37.3306855544
30,41.6854686922
31,37.8509029287
32,28.1757250219
33,38.7023257201
34,40.4137619686
35,40.1177091145
36,33.4394540071
37,35.6925024909
38,40.2904422619
39,31.3894623541
40,40.1995923516
41,39.5498598222
42,36.6009611685
43,39.9269476666
44,40.2456407557
45,35.830790319
46,40.0561007862
