,0
0,40.6139984688
1,37.6806271863
2,38.4324919343
3,32.1905176476
4,31.7214039296
5,39.5159444691
6,33.2985174673
7,32.1854764429
8,40.4657179539
9,29.4535726642
10,38.9579693231
11,39.9189344539
12,35.7021568622
13,39.3671863562
14,40.7337780464
15,41.9328927373
16,40.6227309884
17,41.1393836894
18,39.9003018147
19,40.3675322486
20,40.9351743337
21,39.722019559
22,39.8985379917
23,39.211867346
24,40.352501585
25,40.3444309487
26,40.3984860092
27,37.6134350957
28,40.1272125817
29,40.4104663949
30,40.5116993638
31,34.8097282839
32,40.0318857181
33,39.8204444394
34,39.4725219996
35,41.2952212049
36,38.7006687593
37,39.8485926763
38,38.6276008208
39,40.542407641
40,39.7895121309
41,40.7952982818
42,39.8673648394
43,38.974239613
44,31.0791992713
45,37.3156237659
46,38.2476907082
47,40.6068908892
48,39.3419163142
49,39.2622740468
50,38.5815130492
51,37.805551931
52,41.0407728544
53,31.7491695079
54,39.8894594712
55,25.7064311621
56,40.7695455612
57,39.0472759576
58,40.3875103904
59,40.4421705004
60,38.9707779504
61,39.4472662633
62,39.2290317844
63,34.8739740977
64,39.961702467
65,39.8639647438
66,39.7690570522
67,39.5421433384
68,39.2360523809
69,40.0174156266
70,40.4395346748
71,40.4199588624
72,38.9309310628
73,39.6923643904
74,41.812424452
75,39.3803208994
76,39.4505793071
77,39.5229055915
78,39.6118101782
79,38.5801890995
80,39.4667514338
81,40.5523071237
82,39.1001371062
83,40.8719473163
84,32.4127482107
85,38.9774724284
86,39.3055714047
87,39.1618520304
88,39.9934864701
89,30.2605088058
90,40.7015985828
91,33.7159613498
92,38.6489363586
93,39.3513545753
94,41.3262477871
95,39.7745537661
96,41.8578957467
97,30.5774205441
98,41.532808663
99,39.5455037022
100,39.7835612851
101,40.5775049329
102,39.2449700847
103,30.8460598837
104,30.6224786885
105,40.1415299774
106,39.4449738493
107,39.7477136047
108,39.9173219622
109,40.006801978
110,38.4959012384
111,40.1177674658
112,39.8267288075
113,39.3409145367
114,39.8256987139
115,28.730307616
116,33.2096973782
117,38.7303126134
118,41.1242370277
119,39.7850763617
120,23.0300556573
121,32.0530641025
122,40.060321886
123,39.5077531422
124,31.3122421176
125,40.241986705
126,31.5713140229
127,37.0069924593
128,40.1685199367
129,39.7555583021
130,34.3769071395
131,39.9895111004
132,37.5954343206
133,41.0896065303
134,40.85869896
135,32.2367247966
136,32.9766210049
137,39.6329760478
138,38.9156704075
139,33.2133234059
140,40.9474625635
141,40.3334320912
142,38.3337301478
143,41.4707101117
144,36.5868644728
145,38.0559005546
146,40.6873929955
147,37.1539250902
148,37.0592300878
149,39.7341475024
150,39.2544430706
151,39.4430391404
152,41.7367381165
153,39.8865057033
154,39.7057581267
155,39.8250830758
156,38.8015024116
157,40.7825327075
158,40.8232955167
159,39.1259058694
160,40.0900177914
161,40.1888170992
162,39.3984761068
163,41.115086022
164,29.9026651949
165,37.9563062681
166,39.1122676362
167,40.1767203766
168,38.0395526126
169,40.5668253034
170,40.7954048421
171,41.4786546507
172,40.0900793574
173,30.442125575
174,40.842437644
175,38.6665892045
176,39.5569141549
177,40.0059297343
178,41.2124418507
179,41.3387355935
180,40.877781054
181,39.9972743513
182,40.5125566072
183,39.3161852199
184,35.7151794708
185,39.2570641066
186,39.2066288775
187,35.3660345915
188,39.2688488102
189,39.3854967303
190,33.9475843122
191,40.3884890071
192,39.9033593697
193,39.3389549936
194,34.9516544012
195,39.9580422587
196,38.5725505365
197,22.3763381634
198,39.8387516317
199,32.7790667585
200,39.7383571592
201,34.8707630996
202,41.133064142
203,41.0306200243
204,39.8072609908
205,38.6107618389
