,0
0,40.1468119279
1,36.0903411459
2,37.0400341074
3,44.3827303685
4,38.1844458905
5,41.9499387865
6,40.6878758219
7,41.1216535091
8,42.6790270558
9,34.7234359345
10,40.2446299963
11,41.4109749242
12,36.0015497457
13,39.1017861505
14,38.4129570381
15,39.9852217331
16,41.8144039004
17,32.1508543695
18,39.3496524495
19,34.1555763457
20,40.7868089466
21,34.092266005
22,40.691243488
23,43.4370050096
24,42.0996704578
25,43.0539901833
26,39.5250343463
27,43.084352484
28,34.404358267
29,37.1382738278
30,39.9585065269
31,42.7174259506
32,30.1820337948
33,40.570241478
34,41.6613211686
35,40.6719800929
36,41.2642564533
37,42.1090195453
38,43.217302523
39,43.7288341189
40,42.0832912599
41,42.703530356
42,41.9310286087
43,40.6609975079
44,42.1293147706
45,43.093301999
46,41.7235757174
