,0
0,40.4362235371
1,39.2784657714
2,37.9969305142
3,39.9084715744
4,40.637811265
5,39.7062552015
6,43.2181330891
7,44.5102687643
8,41.1045288354
9,43.6455530169
10,38.6749486146
11,40.5446699568
12,36.9102796406
13,39.2464588403
14,41.2897278111
15,42.5441414533
16,40.6226648789
17,41.2982496042
18,41.0288379127
19,40.1432480279
20,42.0200473658
21,38.820145219
22,40.5684711254
23,39.7518192676
24,42.2492746121
25,40.4853484663
26,40.2804947793
27,38.9377190278
28,40.0959487386
29,40.934009988
30,40.8219279652
31,39.5459413458
32,40.3360245803
33,42.8155453245
34,39.9471326608
35,42.8110600592
36,40.4373167141
37,39.5986091776
38,41.7858874976
39,41.2298672932
40,40.89376052
41,39.6063756597
